Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants,Core
Z3/v-->v/V1*V2*V3*V4*V5/Chc/2159/numPlain/2695/Compression/6.495518204814074e-2/VCore_Total/2382/VCorePlain/621/VCoreVar/1761/Variants/32/Core/14,3.037548287625517,3.0185321634999127,3.051993741250044,0.02016074932069548,0.010429637750348775,0.02797948292843569,Z3,v-->v,V1*V2*V3*V4*V5,2159,2695,0.06495518204814074,2382,621,1761,32,14
Z3/v-->v/V1*V2*V3*V4*V5*V6/Chc/2827/numPlain/2152/Compression/3.38131445426035e-2/VCore_Total/2814/VCorePlain/510/VCoreVar/2304/Variants/64/Core/14,7.706852893460261,7.689179952134509,7.716980406372386,0.017450317160545615,0.006791078241803916,0.020455299111118232,Z3,v-->v,V1*V2*V3*V4*V5*V6,2827,2152,0.0338131445426035,2814,510,2304,64,14
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7/Chc/3248/numPlain/1881/Compression/1.7402113646176727e-2/VCore_Total/2929/VCorePlain/354/VCoreVar/2575/Variants/128/Core/14,16.127937980062296,16.091767587999737,16.147329864623316,0.028691295720093293,0.014183687373588327,0.04026785108865465,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7,3248,1881,0.017402113646176727,2929,354,2575,128,14
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8/Chc/3633/numPlain/1562/Compression/8.931392725462844e-3/VCore_Total/3186/VCorePlain/292/VCoreVar/2894/Variants/256/Core/14,33.155981401854966,33.00713047500176,33.21477953704137,0.1025769915477721,0.02720110337213555,0.13578847671088107,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8,3633,1562,0.008931392725462844,3186,292,2894,256,14
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/3752/numPlain/1498/Compression/4.533901687595635e-3/VCore_Total/3213/VCorePlain/255/VCoreVar/2958/Variants/512/Core/14,67.71447916645593,67.58696335249806,67.88565378912244,0.16242707150963362,0.05150821675124462,0.21010648344806707,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9,3752,1498,0.004533901687595635,3213,255,2958,512,14
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/3809/numPlain/1441/Compression/2.2627576375406533e-3/VCore_Total/3250/VCorePlain/235/VCoreVar/3015/Variants/1024/Core/14,136.85058103221095,136.78397102312647,136.89246581241906,0.06876884761348206,0.03621343611527713,0.09672875651241307,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,3809,1441,0.0022627576375406533,3250,235,3015,1024,14
Z3/v-->v/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4/Core/15,0.0665133294388735,0.01939681560897346,0.13056106384492955,0.07110587766492125,0.033336308814912126,0.09189582138805887,Z3,v-->v,V1*V2,1322,3143,0.43001393608958216,2309,996,1313,4,15
Z3/v-->v/V1*V2*V3/Chc/1400/numPlain/3081/Compression/0.22435286784508815/VCore_Total/2326/VCorePlain/951/VCoreVar/1375/Variants/8/Core/15,0.7000276145615013,0.6605480282499532,0.7762278949339816,0.07532654119590042,0.0005400652778603104,0.08825853740968301,Z3,v-->v,V1*V2*V3,1400,3081,0.22435286784508815,2326,951,1375,8,15
Z3/v-->v/V1*V2*V3*V4/Chc/1478/numPlain/3011/Compression/0.11778550160073432/VCore_Total/2374/VCorePlain/929/VCoreVar/1445/Variants/16/Core/15,1.2531548028346151,1.2189218415023788,1.2777752406655054,0.03425316856416372,0.01793459487409527,0.0472313073270831,Z3,v-->v,V1*V2*V3*V4,1478,3011,0.11778550160073432,2374,929,1445,16,15
Z3/v-->v/V1*V2*V3*V4*V5/Chc/2159/numPlain/2695/Compression/6.495518204814074e-2/VCore_Total/2382/VCorePlain/621/VCoreVar/1761/Variants/32/Core/15,3.16176452358377,3.148617589249625,3.174911457917915,0.01575160946725761,0.011299913807663287,0.019092758820917398,Z3,v-->v,V1*V2*V3*V4*V5,2159,2695,0.06495518204814074,2382,621,1761,32,15
